,Station Names,YEAR,Max Temp,Min Temp,Rainfall,Relative Humidity,Wind Speed,Cloud Coverage,Bright Sunshine,Amon_area,Amon_production,Aus_area,Aus_production,Jute_area,Jute_production,Boro_Area,Boro_Production
42,Mymensingh,1979,34.425,20.93333333,79.83333333,76.33333333,1.45,3.316666667,7.225,628310.0,361440,722490,328815.0,268810.0,773120,106840.0,70165.0
43,Patuakhali,1979,33.39166667,22.05,203.5833333,81.25,1.283333333,3.358333333,5.734195402,621120.0,311795,140565,49670.0,1055.0,1340,31770.0,24470.0
44,Rajshahi,1979,34.15833333,21.19166667,129.0,71.66666667,1.608333333,2.6583333330000003,7.775,1061840.0,485010,"48397 
0",171035.0,64315.0,181982,92665.0,70305.0
45,Rangamati,1979,33.69166667,22.725,217.0,78.91666667,1.4916666669999998,3.733333333,6.455864198,,,,,,,,
46,Rangpur,1979,32.41666667,20.1,170.66666669999995,71.58333333,0.933333333,2.675,6.65,1289800.0,729100,996550,349205.0,370100.0,1250675,80085.0,52765.0
47,Sandwip,1979,32.675,21.45833333,218.25,83.33333333,1.341666667,2.9,6.600617284,,,,,,,,
48,Satkhira,1979,34.575,22.725,97.83333333,69.33333333,0.8666666670000001,3.183333333,6.538611111,,,,,,,,
49,Khagrachari,1979,33.25,21.90833333,51.83333333,74.0,1.575,3.391666667,7.191666667000001,,,,,,,,
50,Maulavibazar,1979,34.08333333,20.25833333,166.08333330000005,83.5,0.525,0.816666667,6.355654762,,,,,,,,
51,Sylhet,1979,33.41666667,20.25,330.3333333,76.75,1.975,3.875,6.9,947345.0,466480,387890,182770.0,8015.0,16030,558550.0,273905.0
52,Teknaf,1979,32.93333333,22.11666667,91.58333333,73.5,2.15,3.541666667,7.516666667000001,,,,,,,,
53,Barisal,1980,33.325,21.16666667,159.91666669999995,81.5,0.991666667,3.391666667,7.125,962920.0,418845,441125,158180.0,,,107090.0,99125.0
54,Bhola,1980,33.08333333,21.85,250.1666667,81.25,0.6166666670000001,3.416666667,5.327777778,,,,,,,,
55,Bogra,1980,34.30833333,20.925,134.66666669999998,75.16666667,1.091666667,3.066666667,7.525,632710.0,349095,260115,106790.0,,,57445.0,64020.0
56,Chandpur,1980,31.43333333,21.61666667,160.16666669999995,79.0,1.05,2.883333333,5.733333332999999,,,,,,,,
57,Chittagong,1980,32.225,21.275,236.0,77.25,3.666666667,3.4083333330000003,7.2,608535.0,422545,187360,106850.0,,,240500.0,268215.0
58,Comilla,1980,32.73333333,20.93333333,174.41666669999995,79.16666667,1.583333333,2.7,6.583838384,914885.0,482810,470095,215295.0,,,240530.0,244525.0
59,Cox's Bazar,1980,32.275,21.73333333,121.0833333,79.83333333,1.7416666669999998,3.4,7.458333333,,,,,,,,
60,Dhaka,1980,33.30833333,21.38333333,184.8333333,75.75,1.141666667,3.45,6.9916666670000005,696170.0,332765,376830,149470.0,,,255180.0,259455.0
61,Dinajpur,1980,31.15833333,20.09166667,144.0,74.08333333,0.7333333329999999,2.866666667,6.339,850635.0,433165,441005,163610.0,,,17420.0,18455.0
